Source,Preferred society name,Society id,Cross-dataset id,Original society name,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Focal Year: EA015 Community marriage organization,Code: EA015 Community marriage organization,Description: EA015 Community marriage organization,Comment: EA015 Community marriage organization,Subcase: EA015 Community marriage organization,References: EA015 Community marriage organization,Focal Year: EA027 Kin terms for cousins,Code: EA027 Kin terms for cousins,Description: EA027 Kin terms for cousins,Comment: EA027 Kin terms for cousins,Subcase: EA027 Kin terms for cousins,References: EA027 Kin terms for cousins,CousinsDistinguished,Focal Year: EA024 Cousin marriages permitted: subtypes,Code: EA024 Cousin marriages permitted: subtypes,Description: EA024 Cousin marriages permitted: subtypes,Comment: EA024 Cousin marriages permitted: subtypes,Subcase: EA024 Cousin marriages permitted: subtypes,References: EA024 Cousin marriages permitted: subtypes,PermitFirstCousins,Focal Year: EA026 Cousin marriages preferred: subtypes,Code: EA026 Cousin marriages preferred: subtypes,Description: EA026 Cousin marriages preferred: subtypes,Comment: EA026 Cousin marriages preferred: subtypes,Subcase: EA026 Cousin marriages preferred: subtypes,References: EA026 Cousin marriages preferred: subtypes,PreferCrossCousins
Ethnographic Atlas,Laka,Ai13,xd341,Laka (Ai13),8,16,8,16,laka1252,Laka (Nigeria),lak,Atlantic-Congo,,NA,Missing data,,,,,NA,Missing data,,,,NA,,NA,Missing data,,,,NA,,NA,Missing data,,,,NA
Ethnographic Atlas,Dagur,Eb4,xd612,Dagur (Eb4),49,125,49,125,daur1238,Dagur,dta,Mongolic,1940,6,"Clan-communities, each consisting essentially of a single localized exogamous kin group or clan (see ""Organization of clan communities"" for more detail)",,with special reference to the Botaha area,Vreeland(1954); ,1940,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,with special reference to the Botaha area,Vreeland(1954); ,1,1940,7,Nonlateral marriage when evidence is available only for first cousins,,with special reference to the Botaha area,Vreeland(1954); ,0,1940,9,No preferred cousin marriage,,with special reference to the Botaha area,Vreeland(1954); ,0
Ethnographic Atlas,Bena,Ad11,xd78,Bena (Ad11),-9,36,-9,36,bena1262,Bena (Tanzania),bez,Atlantic-Congo,1930,3,Agamous communities without localized clans or any marked tendency toward either local exogamy or local endogamy,,,Culwick and Culwick(1935); ,1930,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Culwick and Culwick(1935); ,1,1930,3,Two of four first cousins marriageable,,,Culwick and Culwick(1935); ,1,1930,9,No preferred cousin marriage,,,Culwick and Culwick(1935); ,0
Ethnographic Atlas,French Basques,Ce4,xd531,Basques (Ce4),43,-1,43,-1,labo1236,Labourdin,,Basque,1930,3,Agamous communities without localized clans or any marked tendency toward either local exogamy or local endogamy,,Labourd,Greenwood(1971); Douglass(1969); Caro Baroja(1958); Madariaga(1940); Caro Baroja(1944); ,1930,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",,Labourd,Greenwood(1971); Douglass(1969); Caro Baroja(1958); Madariaga(1940); Caro Baroja(1944); ,0,,NA,Missing data,,,,NA,,NA,Missing data,,,,NA
Ethnographic Atlas,Ponca,Nf12,xd1232,Ponca (Nf12),43,-99,43,-99,ponc1241,Ponca,,Siouan,,NA,Missing data,,,,1850,6,"Omaha, i.e., MoBrCh equated with MoBr or Mo and/or FaSiCh with SiCh(ms) or Ch",,,Howard(1965b); Dorsey(1897); ,1,1850,7,Nonlateral marriage when evidence is available only for first cousins,,,Howard(1965b); Dorsey(1897); ,0,1850,9,No preferred cousin marriage,,,Howard(1965b); Dorsey(1897); ,0
Ethnographic Atlas,Kunda,Ac37,xd63,Kunda (Ac37),-15,32,-15,32,kund1255,Kunda (Sena),kdn,Atlantic-Congo,1950,3,Agamous communities without localized clans or any marked tendency toward either local exogamy or local endogamy,,,Bruwer(1958); ,1950,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Bruwer(1958); ,1,1950,3,Two of four first cousins marriageable,,,Bruwer(1958); ,1,1950,1,A symmetrical cross-cousin is preferred spouse,,,Bruwer(1958); ,1
Ethnographic Atlas,Nivkh,Ec1,xd617,Gilyak (Ec1),53,142,53,142,gily1242,Nivkh,niv,Nivkh,1920,2,"Segmented communities, i.e., those divided into barrios, wards, or hamlets, each of which is essentially a localized kin group, a clan or ramage, in the absence of any indication of local exogamy. Large extended families (see ""Domestic organization""), are treated as clan-barrios if they are integrated by a rule of ambilineal, matrilineal, or patrilineal descent.",,Sakhalin Island,Seeland(1882); Hawes(1903); Chard(1961); Ivanov et al.(1964); Shternberg(1933a); Schrenck(1881); ,1920,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,Sakhalin Island,Seeland(1882); Hawes(1903); Chard(1961); Ivanov et al.(1964); Shternberg(1933a); Schrenck(1881); ,1,1920,4,One of four first cousins marriageable,,Sakhalin Island,Seeland(1882); Hawes(1903); Chard(1961); Ivanov et al.(1964); Shternberg(1933a); Schrenck(1881); ,1,1920,2,MoBrDa is preferred spouse,,Sakhalin Island,Seeland(1882); Hawes(1903); Chard(1961); Ivanov et al.(1964); Shternberg(1933a); Schrenck(1881); ,1
Ethnographic Atlas,Bashkir,ch12,xd549,Bashkir (ch12),54,56,54,56,bash1264,Bashkir,bak,Turkic,1899,1,"Demes, i.e., communities revealing a marked tendency toward local endogamy but not segmented into clan-barrios",,with special reference to the Birskij Uezd Bashkir,Kozlova(1964); Rudenko(1925); Janguzin(1987); Karlov(1990); Maksimov(1997a); Nazarov(1890); Maksimov(1997b); Shakirova(1988); Tolstov(1964); Nikol'skij(1899); van Gennep(1960); Bikbulatov(1981); Bikbulatov(1980a); Bikbulatov(1980); Bikbulatov(1964); Bikbulatov and Pimenov(1998); Bikbulatov and Kuzeev(1976); Rudenko(1953); Kazantsev(1866); Kinkov(1927); Kozlova(1982); ,1899,8,"Mixed or variant patterns not adequately represented by any of the foregoing symbols. The details are given under ""Classification by Clusters.""",,with special reference to the Birskij Uezd Bashkir,Kozlova(1964); Rudenko(1925); Janguzin(1987); Karlov(1990); Maksimov(1997a); Nazarov(1890); Maksimov(1997b); Shakirova(1988); Tolstov(1964); Nikol'skij(1899); van Gennep(1960); Bikbulatov(1981); Bikbulatov(1980a); Bikbulatov(1980); Bikbulatov(1964); Bikbulatov and Pimenov(1998); Bikbulatov and Kuzeev(1976); Rudenko(1953); Kazantsev(1866); Kinkov(1927); Kozlova(1982); ,NA,1899,8,"Nonlateral marriage, i.e., unions forbidden with any first or second cousin",,with special reference to the Birskij Uezd Bashkir,Kozlova(1964); Rudenko(1925); Janguzin(1987); Karlov(1990); Maksimov(1997a); Nazarov(1890); Maksimov(1997b); Shakirova(1988); Tolstov(1964); Nikol'skij(1899); van Gennep(1960); Bikbulatov(1981); Bikbulatov(1980a); Bikbulatov(1980); Bikbulatov(1964); Bikbulatov and Pimenov(1998); Bikbulatov and Kuzeev(1976); Rudenko(1953); Kazantsev(1866); Kinkov(1927); Kozlova(1982); ,0,1899,9,No preferred cousin marriage,,with special reference to the Birskij Uezd Bashkir,Kozlova(1964); Rudenko(1925); Janguzin(1987); Karlov(1990); Maksimov(1997a); Nazarov(1890); Maksimov(1997b); Shakirova(1988); Tolstov(1964); Nikol'skij(1899); van Gennep(1960); Bikbulatov(1981); Bikbulatov(1980a); Bikbulatov(1980); Bikbulatov(1964); Bikbulatov and Pimenov(1998); Bikbulatov and Kuzeev(1976); Rudenko(1953); Kazantsev(1866); Kinkov(1927); Kozlova(1982); ,0
Ethnographic Atlas,Tenetehara,Sj6,xd1414,Tenetehara (Sj6),-3,-46,-3,-46,temb1276,Tembe,tqb,Tupian,1930,1,"Demes, i.e., communities revealing a marked tendency toward local endogamy but not segmented into clan-barrios",,with special reference to the Guajajara subgroup,Wagley(1949a); Snethlage(1931); Wagley and Galvao(1948b); ,1930,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,with special reference to the Guajajara subgroup,Wagley(1949a); Snethlage(1931); Wagley and Galvao(1948b); ,0,1930,7,Nonlateral marriage when evidence is available only for first cousins,,with special reference to the Guajajara subgroup,Wagley(1949a); Snethlage(1931); Wagley and Galvao(1948b); ,0,1930,9,No preferred cousin marriage,,with special reference to the Guajajara subgroup,Wagley(1949a); Snethlage(1931); Wagley and Galvao(1948b); ,0
Ethnographic Atlas,Burmese,Ei3,xd709,Burmese (Ei3),20,95,20,95,nucl1310,Nuclear Burmese,mya,Sino-Tibetan,1950,1,"Demes, i.e., communities revealing a marked tendency toward local endogamy but not segmented into clan-barrios",,Nondwin Village,Le Bar et al.(1964c); Brohm(1963); Somit and Welsh(1956); Scott(1882); Nash(1965); Nash(1963); Trager(1956); ,1950,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,Nondwin Village,Le Bar et al.(1964c); Brohm(1963); Somit and Welsh(1956); Scott(1882); Nash(1965); Nash(1963); Trager(1956); ,0,1950,1,"Quadrilateral marriage, i.e., marriage allowed with any first cousin",,Nondwin Village,Le Bar et al.(1964c); Brohm(1963); Somit and Welsh(1956); Scott(1882); Nash(1965); Nash(1963); Trager(1956); ,1,1950,9,No preferred cousin marriage,,Nondwin Village,Le Bar et al.(1964c); Brohm(1963); Somit and Welsh(1956); Scott(1882); Nash(1965); Nash(1963); Trager(1956); ,0
Ethnographic Atlas,Ndebele,Ab9,xd32,Ndebele (Ab9),-20,28,-20,28,nort2795,North Ndebele,nde,Atlantic-Congo,1870,3,Agamous communities without localized clans or any marked tendency toward either local exogamy or local endogamy,,,Hughes and van Velsen(1955); Thomas(1872); Jackson(1926-27); ,1870,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Hughes and van Velsen(1955); Thomas(1872); Jackson(1926-27); ,1,1870,8,"Nonlateral marriage, i.e., unions forbidden with any first or second cousin",,,Hughes and van Velsen(1955); Thomas(1872); Jackson(1926-27); ,0,1870,9,No preferred cousin marriage,,,Hughes and van Velsen(1955); Thomas(1872); Jackson(1926-27); ,0
Ethnographic Atlas,Punjabi,Ea13,xd600,"Punjabi, West (Ea13)",32,73,32,73,panj1256,Panjabi,pan,Indo-European,1950,2,"Segmented communities, i.e., those divided into barrios, wards, or hamlets, each of which is essentially a localized kin group, a clan or ramage, in the absence of any indication of local exogamy. Large extended families (see ""Domestic organization""), are treated as clan-barrios if they are integrated by a rule of ambilineal, matrilineal, or patrilineal descent.",,Mohla Village,Dass(1954); Wilbur(1964); Callard and Wheeler(1963); Kennedy(1957); Honigmann(1958); Honigmann(1957); Eglar(1960); Eglar(1957); Symonds(1950); Palmer(1961); ,1950,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,Mohla Village,Dass(1954); Wilbur(1964); Callard and Wheeler(1963); Kennedy(1957); Honigmann(1958); Honigmann(1957); Eglar(1960); Eglar(1957); Symonds(1950); Palmer(1961); ,NA,1950,1,"Quadrilateral marriage, i.e., marriage allowed with any first cousin",,Mohla Village,Dass(1954); Wilbur(1964); Callard and Wheeler(1963); Kennedy(1957); Honigmann(1958); Honigmann(1957); Eglar(1960); Eglar(1957); Symonds(1950); Palmer(1961); ,1,1950,2,MoBrDa is preferred spouse,,Mohla Village,Dass(1954); Wilbur(1964); Callard and Wheeler(1963); Kennedy(1957); Honigmann(1958); Honigmann(1957); Eglar(1960); Eglar(1957); Symonds(1950); Palmer(1961); ,1
Ethnographic Atlas,Manihikians,Ij4,xd893,Manihikians (Ij4),-10.41,-160.98,-10,-160,raka1237,Rakahanga-Manihiki,rkh,Austronesian,,NA,Missing data,,,,1850,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Buck(1932a); ,0,1850,1,"Quadrilateral marriage, i.e., marriage allowed with any first cousin",,,Buck(1932a); ,1,1850,9,No preferred cousin marriage,,,Buck(1932a); ,0
Ethnographic Atlas,Oroch,ec20,xd629,Oroch (ec20),51,138,51,138,oroc1248,Oroch,oac,Tungusic,1890,6,"Clan-communities, each consisting essentially of a single localized exogamous kin group or clan (see ""Organization of clan communities"" for more detail)",,Oroch people as a whole,Turaev(2001); Lopatin(1925); Lar'kin(1964); Smoljak(1994); Shternberg(1933a); Iochel'son(1908); Levin and Potapov(1956b); ,1890,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",,Oroch people as a whole,Turaev(2001); Lopatin(1925); Lar'kin(1964); Smoljak(1994); Shternberg(1933a); Iochel'son(1908); Levin and Potapov(1956b); ,0,1890,3,Two of four first cousins marriageable,,Oroch people as a whole,Turaev(2001); Lopatin(1925); Lar'kin(1964); Smoljak(1994); Shternberg(1933a); Iochel'son(1908); Levin and Potapov(1956b); ,1,1890,2,MoBrDa is preferred spouse,,Oroch people as a whole,Turaev(2001); Lopatin(1925); Lar'kin(1964); Smoljak(1994); Shternberg(1933a); Iochel'son(1908); Levin and Potapov(1956b); ,1
Ethnographic Atlas,Nkundo,Ae4,xd160,Nkundo (Ae4),0,20,0,20,nkun1238,Nkundo,,Atlantic-Congo,1930,6,"Clan-communities, each consisting essentially of a single localized exogamous kin group or clan (see ""Organization of clan communities"" for more detail)",,Ilanga group,Gutersohn(1920); Brepoels(1930); Schebesta(1936); Van der Kerken(1944); Boelaert(1940); Hulstaert(1971); Hulstaert(1938); ,1930,1,"Crow, i.e., FaSiCh equated with Fa or FaSi and/or MoBrCh with Ch or BrCh(ws)",,Ilanga group,Gutersohn(1920); Brepoels(1930); Schebesta(1936); Van der Kerken(1944); Boelaert(1940); Hulstaert(1971); Hulstaert(1938); ,1,1930,8,"Nonlateral marriage, i.e., unions forbidden with any first or second cousin",,Ilanga group,Gutersohn(1920); Brepoels(1930); Schebesta(1936); Van der Kerken(1944); Boelaert(1940); Hulstaert(1971); Hulstaert(1938); ,0,1930,9,No preferred cousin marriage,,Ilanga group,Gutersohn(1920); Brepoels(1930); Schebesta(1936); Van der Kerken(1944); Boelaert(1940); Hulstaert(1971); Hulstaert(1938); ,0
Ethnographic Atlas,Russians,Ch11,xd548,Russians (Ch11),53,41,53,41,russ1263,Russian,rus,Indo-European,1955,3,Agamous communities without localized clans or any marked tendency toward either local exogamy or local endogamy,,Viriatino Village,Dunn(1971a); Schapiro(1960); Mace and Mace(1963); Fainsod(1958); Black(1960); Dunn and Dunn(1967); Fitzsimmons(1957); Dunn(1971b); Benet(1970); Alt and Alt(1959); Dunn and Dunn(1963); ,1955,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",,Viriatino Village,Dunn(1971a); Schapiro(1960); Mace and Mace(1963); Fainsod(1958); Black(1960); Dunn and Dunn(1967); Fitzsimmons(1957); Dunn(1971b); Benet(1970); Alt and Alt(1959); Dunn and Dunn(1963); ,0,,NA,Missing data,,,,NA,,NA,Missing data,,,,NA
Ethnographic Atlas,Kohistani,Ea4,xd603,Kohistani (Ea4),35,73,35,73,indu1241,Indus Kohistani,mvy,Indo-European,1950,2,"Segmented communities, i.e., those divided into barrios, wards, or hamlets, each of which is essentially a localized kin group, a clan or ramage, in the absence of any indication of local exogamy. Large extended families (see ""Domestic organization""), are treated as clan-barrios if they are integrated by a rule of ambilineal, matrilineal, or patrilineal descent.",,,Barth(1956b); ,1950,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,,Barth(1956b); ,NA,,NA,Missing data,,,,NA,,NA,Missing data,,,,NA
Ethnographic Atlas,Orok,ec19,xd627,Orok (ec19),54.01,142.71,54,142,orok1265,Orok,oaa,Tungusic,1890,6,"Clan-communities, each consisting essentially of a single localized exogamous kin group or clan (see ""Organization of clan communities"" for more detail)",,Northern group,Shternberg(1933a); Levin and Potapov(1956e); Petrova(1969); Smoljak(1994); ,1890,8,"Mixed or variant patterns not adequately represented by any of the foregoing symbols. The details are given under ""Classification by Clusters.""",,Northern group,Shternberg(1933a); Levin and Potapov(1956e); Petrova(1969); Smoljak(1994); ,NA,1890,3,Two of four first cousins marriageable,,Northern group,Shternberg(1933a); Levin and Potapov(1956e); Petrova(1969); Smoljak(1994); ,1,1890,2,MoBrDa is preferred spouse,,Northern group,Shternberg(1933a); Levin and Potapov(1956e); Petrova(1969); Smoljak(1994); ,1
Ethnographic Atlas,Kiowa Apache,Ne2,xd1219,Kiowa Apache (Ne2),36,-99,36,-99,kiow1264,Kiowa Apache,apk,Athapaskan-Eyak-Tlingit,1870,3,Agamous communities without localized clans or any marked tendency toward either local exogamy or local endogamy,,,Mcallister(1937); ,1870,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Mcallister(1937); ,0,1870,8,"Nonlateral marriage, i.e., unions forbidden with any first or second cousin",,,Mcallister(1937); ,0,1870,9,No preferred cousin marriage,,,Mcallister(1937); ,0
Ethnographic Atlas,Tagbanua,Ia7,xd747,Tagbanua (Ia7),10,119,10,119,tagb1258,Tagbanwa,tbw,Austronesian,1950,1,"Demes, i.e., communities revealing a marked tendency toward local endogamy but not segmented into clan-barrios",,,Fox(1954); ,1950,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",,,Fox(1954); ,0,1950,8,"Nonlateral marriage, i.e., unions forbidden with any first or second cousin",,,Fox(1954); ,0,1950,9,No preferred cousin marriage,,,Fox(1954); ,0
